id,puzzle,solution,clues,difficulty,backtracking_w/MRV_w/LCV_w/AC3_time,backtracking_w/MRV_w/LCV_w/AC3_numBacktracks,backtracking_w/MRV_w/LCV_w/FwdCheck_time,backtracking_w/MRV_w/LCV_w/FwdCheck_numBacktracks,backtracking_w/MRV_w/LCV_time,backtracking_w/MRV_w/LCV_numBacktracks,backtracking_w/MRV_time,backtracking_w/MRV_numBacktracks,backtracking_time,backtracking_numBacktracks,backtracking_w/LCV_time,backtracking_w/LCV_numBacktracks,backtracking_w/LCV_w/FwdCheck_time,backtracking_w/LCV_w/FwdCheck_numBacktracks,backtracking_w/LCV_w/AC3_time,backtracking_w/LCV_w/AC3_numBacktracks,backtracking_w/AC3_time,backtracking_w/AC3_numBacktracks,backtracking_w/FwdCheck_time,backtracking_w/FwdCheck_numBacktracks,backtracking_w/MRV_w/AC3_time,backtracking_w/MRV_w/AC3_numBacktracks,backtracking_w/MRV_w/FwdCheck_time,backtracking_w/MRV_w/FwdCheck_numBacktracks
1,1..5.37..6.3..8.9......98...1.......8761..........6...........7.8.9.76.47...6.312,198543726643278591527619843914735268876192435235486179462351987381927654759864312,27,2.2,0.9545261859893799,269.0,0.10509276390075684,257.0,0.5738711357116699,12139.0,1.2813193798065186,34848.0,2.137741804122925,110246.0,2.601163625717163,66786.0,1.3578920364379883,3617.0,0.43888068199157715,71.0,0.7241239547729492,165.0,3.302339553833008,9012.0,1.0132315158843994,286.0,0.02190089225769043,51.0
2,...81.....2........1.9..7...7..25.934.2............5...975.....563.....4......68.,934817256728653419615942738176425893452398167389176542897564321563281974241739685,23,0.0,1.7893719673156738,531.0,0.21103668212890625,630.0,1.773120403289795,35674.0,1.720210313796997,45350.0,29.425764560699463,1632098.0,46.980446100234985,1460023.0,29.545050382614136,88991.0,6.433067083358765,1702.0,4.530137062072754,1207.0,30.12976861000061,96908.0,1.943981409072876,585.0,0.2855403423309326,803.0
3,..5...74.3..6...19.....1..5...7...2.9....58..7..84......3.9...2.9.4.....8.....1.3,215983746387654219469271385538716924941325867726849531653198472192437658874562193,25,2.6,5.523093938827515,1845.0,0.49266600608825684,1403.0,29.00389575958252,587979.0,0.22195911407470703,5882.0,0.15181803703308105,8890.0,0.2462785243988037,7915.0,0.8908276557922363,2506.0,1.9001076221466064,552.0,1.5398874282836914,431.0,1.2778537273406982,3786.0,4.960549354553223,1649.0,0.5740981101989746,1608.0
4,........5.2...9....9..2...373..481.....36....58....4...1...358...42.......978...2,473816925628539741195427863732948156941365278586172439217693584864251397359784612,26,1.4,0.48751115798950195,113.0,0.029578447341918945,85.0,0.09169840812683105,1985.0,0.017911195755004883,365.0,1.2311382293701172,69599.0,0.7369604110717773,25324.0,3.1188411712646484,8883.0,0.2283484935760498,27.0,5.321257591247559,1624.0,8.992443323135376,27259.0,0.5835525989532471,145.0,0.019240140914916992,50.0
5,.4.1..............653.....1.8.9..74...24..91.......2.8...562....1..7..6...4..1..3,947153682128649357653287491381926745572438916496715238839562174215374869764891523,25,1.1,0.3751094341278076,81.0,0.025301218032836914,62.0,0.24189519882202148,4818.0,0.024415016174316406,542.0,11.366558313369751,675023.0,20.265116453170776,681409.0,54.37702226638794,171720.0,2.5187041759490967,663.0,2.831402540206909,691.0,55.936368465423584,170747.0,0.31656646728515625,51.0,0.025281429290771484,62.0
6,5...634.....7.....1...5.83.....18..7..69......43...9...............7..2.32.64.5..,598163472632784159174259836259418367816937245743526981465892713981375624327641598,24,0.0,0.2393178939819336,38.0,0.01253819465637207,31.0,4.9602532386779785,99069.0,13.663634300231934,370584.0,0.1577746868133545,8955.0,0.28665971755981445,8069.0,1.234839916229248,3518.0,1.0964853763580322,261.0,1.4482691287994385,365.0,1.1133487224578857,3533.0,0.4036712646484375,93.0,0.012145519256591797,31.0
7,..346..2..58.2...1.2.9...8...1....9.2..783.........3....9..6..........56.6..7.21.,913468527458327961627915483731542698296783145584691372179256834842139756365874219,26,0.0,0.468217134475708,98.0,0.2397310733795166,677.0,0.9060616493225098,18995.0,5.737918853759766,156199.0,0.32469630241394043,19117.0,0.5119659900665283,16297.0,2.441394090652466,6517.0,2.809584140777588,875.0,1.4349596500396729,404.0,2.549126148223877,7704.0,0.5697133541107178,133.0,0.13409757614135742,373.0
8,38.1.........5.6.....9....3.4.........5.18.......9.561.6..2478.8.......6..4.8..2.,386172954419853672527946813741365298695218437238497561163524789852739146974681325,25,3.7,1.3906207084655762,427.0,0.04379534721374512,110.0,1.1811256408691406,24281.0,0.11214971542358398,2983.0,4.652564764022827,273021.0,5.003844499588013,124233.0,3.8278284072875977,10460.0,1.80318021774292,505.0,1.1565728187561035,287.0,12.004508256912231,35434.0,0.2720754146575928,48.0,0.10102534294128418,287.0
9,.......2...75...9.6....4........7....25.961..9......83...6..85.....1.....4.32..7.,894163725137582496652974318481237569325896147976451283713649852268715934549328671,23,0.0,1.3403193950653076,419.0,0.15156984329223633,422.0,8.53378438949585,167004.0,0.11310243606567383,2954.0,8.244462013244629,486790.0,14.90530276298523,477425.0,31.47010374069214,95674.0,6.384276628494263,1791.0,5.072481393814087,1420.0,33.09775447845459,97092.0,0.7263727188110352,204.0,0.061836957931518555,165.0
10,.75.....34......1....672.....9..16.....3....5.2.56...49.7.4......38.9............,275184963486935712391672548539421687764398125128567394917243856643859271852716439,23,1.5,0.8482379913330078,244.0,0.19325852394104004,555.0,10.759388446807861,196140.0,42.41321897506714,1085430.0,0.03005528450012207,1741.0,0.04917287826538086,1605.0,0.0608830451965332,186.0,0.16055536270141602,6.0,0.17635560035705566,9.0,0.08081412315368652,220.0,1.1941072940826416,358.0,0.19306039810180664,541.0
11,..3.8.5...4.....9.7..15.4..98...1..5..2.7983...5.6....1....6.5.8.....7..........4,623984517541627398798153426987231645462579831315468972179846253854312769236795184,26,1.5,0.20598363876342773,27.0,0.05156898498535156,152.0,1.1474385261535645,21657.0,11.600069761276245,306453.0,0.051924943923950195,3018.0,0.10521793365478516,3824.0,0.48058581352233887,1541.0,1.0600712299346924,278.0,0.5137457847595215,121.0,0.43587779998779297,1285.0,1.1264431476593018,342.0,0.0790872573852539,217.0
12,7.98.5...6..1..8.........9.8..4...1.....5..4.2....7..5..6...789.2.9..........3.6.,739845126654192873182376594865439217973251648241687935316524789427968351598713462,24,0.0,1.1029407978057861,335.0,0.04677152633666992,129.0,1.9095408916473389,38158.0,0.4385340213775635,11700.0,3.357182741165161,190695.0,10.835787534713745,325937.0,16.357239723205566,50663.0,1.037139654159546,259.0,0.7742321491241455,182.0,9.992879629135132,29543.0,0.8680634498596191,254.0,0.032042503356933594,99.0
13,8..9........524.....5.1.67..2......45.17....3.......164....8..1....6...7......89.,813976425697524138245813679329681754561749283784235916472398561958162347136457892,24,1.6,0.7741150856018066,223.0,0.03183698654174805,86.0,0.6536562442779541,13148.0,4.6308276653289795,125219.0,0.11587047576904297,6565.0,0.19495630264282227,7324.0,0.7198987007141113,2235.0,0.5689997673034668,138.0,0.6146228313446045,142.0,0.7269015312194824,2120.0,0.46668505668640137,105.0,0.012668132781982422,28.0
14,............86..79.....54............53.9......67..58.5....2.4327.6.....8.94...5.,648179325325864179917325468182546937753298614496731582561982743274653891839417256,24,1.8,0.9588370323181152,285.0,0.03754115104675293,98.0,0.5615096092224121,11764.0,0.06288337707519531,1670.0,41.4820671081543,2353049.0,26.75585675239563,725690.0,16.74703335762024,47885.0,2.968729257583618,784.0,2.9685909748077393,742.0,35.97758221626282,103962.0,0.38617563247680664,78.0,0.03190040588378906,86.0
15,.7.16....4....7........8..2..9...2.52..9..1.....5.36..6..2..8..91......3..7.....6,375162984482397561196458372869714235253986147741523698634271859918645723527839416,24,3.3,1.0696406364440918,312.0,0.13382172584533691,396.0,1.155890703201294,22970.0,0.27495551109313965,7435.0,0.26797914505004883,14528.0,1.5414094924926758,53107.0,4.069586992263794,10662.0,4.070547103881836,1126.0,0.4361264705657959,78.0,1.105623722076416,3425.0,0.9770865440368652,267.0,0.12916135787963867,363.0
16,9.4.728.....8.36..8..9.....6.9....1..83..7.....7.....22...385.....729..6...6.....,964572831172843659835961274629485713483217965517396482246138597358729146791654328,27,3.3,1.4371795654296875,454.0,0.08080506324768066,232.0,0.8487868309020996,15820.0,3.2811119556427,88579.0,0.503363847732544,27426.0,1.1619772911071777,38827.0,5.8341381549835205,15247.0,7.553739309310913,2299.0,3.177037239074707,956.0,3.441908359527588,10079.0,0.7825238704681396,222.0,0.021654367446899414,57.0
17,..61.4.9.35...9......25.........5..8......2...324...718...9.3...95...7...4.7.1...,726134895358679142419258637971325468684917253532486971867592314195843726243761589,26,1.2,0.2553436756134033,43.0,0.017834186553955078,44.0,3.023780107498169,63740.0,0.4012444019317627,10783.0,0.9164063930511475,49475.0,1.6358511447906494,49525.0,5.7515928745269775,15421.0,0.43747949600219727,89.0,0.7001025676727295,170.0,6.431524753570557,18591.0,0.35467076301574707,74.0,0.015375614166259766,32.0
18,.....48..79.58........9.....75....4.1.62.............751.3..2....48....16.24..5..,253614879791583426468792315875936142146257938329148657517369284934825761682471593,25,0.0,0.5831489562988281,157.0,0.07200241088867188,200.0,0.5089530944824219,9535.0,0.0960230827331543,2607.0,0.4011092185974121,22182.0,1.0341389179229736,32199.0,1.7984895706176758,5052.0,0.27706217765808105,43.0,0.4479544162750244,72.0,1.3760886192321777,3995.0,0.23575687408447266,30.0,0.013984918594360352,30.0
19,...6..8....35.4...65..217...6..............5..7138..2...7.1.6.4.1.......9....3..7,742639815183574269659821743365192478298746351471385926537218694814967532926453187,25,2.7,4.0244362354278564,1329.0,0.22061657905578613,682.0,1.4381678104400635,30320.0,3.754047393798828,100813.0,1.3433010578155518,76234.0,2.37103533744812,65182.0,8.053401470184326,22153.0,6.998452425003052,2193.0,6.82926607131958,2118.0,9.415903568267822,25155.0,3.298983573913574,1078.0,0.22707033157348633,716.0
20,....3.76.5....91.29.........49..53.......327...52..........75.4..1.4.....6.......,124538769583679142976124853249715386618493275735286491392867514851942637467351928,23,3.3,2.849710464477539,921.0,0.10374259948730469,274.0,56.70996832847595,1130894.0,6.729472637176514,174635.0,0.048462867736816406,2753.0,0.6244115829467773,23730.0,0.8990821838378906,2747.0,1.0709047317504883,270.0,0.4034736156463623,71.0,0.2730541229248047,860.0,5.368916034698486,1712.0,0.4994535446166992,1323.0
21,...8.....86....95.3.9..24.8.....132.6.......52...................19.3.4...2..4.3.,125849763864137952379562418958471326643298175217356894436715289581923647792684531,23,0.0,0.8108789920806885,217.0,0.014883756637573242,42.0,53.127347469329834,1066459.0,10.65008807182312,289203.0,0.23972821235656738,13601.0,0.6344788074493408,17413.0,2.632161855697632,7341.0,4.140799045562744,1219.0,2.0966339111328125,602.0,1.8607780933380127,5264.0,0.7856073379516602,219.0,0.034497737884521484,85.0
